,Eur
2140,0.084
2141,0.084
2142,0.084
2143,0.084
2144,0.084
2145,0.084
2146,0.084
2147,0.084
2148,0.084
2149,0.084
2150,0.084
2151,0.084
2152,0.084
2153,0.084
2154,0.084
2155,0.084
2156,0.084
2157,0.084
2158,0.084
2159,0.084
2160,0.084
2161,0.084
2162,0.084
2163,0.084
2164,0.084
2165,0.084
2166,0.084
2167,0.084
2168,0.084
2169,0.084
2170,0.084
2171,0.084
2172,0.084
2173,0.084
2174,0.084
2175,0.084
2176,0.084
2177,0.084
2178,0.084
2179,0.127
2180,0.127
2181,0.224
2182,0.224
2183,0.224
2184,0.224
2185,0.127
2186,0.127
2187,0.127
2188,0.127
2189,0.224
2190,0.224
2191,0.224
2192,0.224
2193,0.127
2194,0.127
2195,0.084
2196,0.084
2197,0.084
2198,0.084
2199,0.084
2200,0.084
2201,0.084
2202,0.127
2203,0.127
2204,0.224
2205,0.224
2206,0.224
2207,0.224
2208,0.127
2209,0.127
2210,0.127
2211,0.127
2212,0.224
2213,0.224
2214,0.224
2215,0.224
2216,0.127
2217,0.127
2218,0.084
2219,0.084
2220,0.084
2221,0.084
2222,0.084
2223,0.084
2224,0.084
2225,0.127
2226,0.127
2227,0.224
2228,0.224
2229,0.224
2230,0.224
2231,0.127
2232,0.127
2233,0.127
2234,0.127
2235,0.224
2236,0.224
2237,0.224
2238,0.224
2239,0.127
2240,0.127
2241,0.084
2242,0.084
2243,0.084
2244,0.084
2245,0.084
2246,0.084
2247,0.084
2248,0.127
2249,0.127
2250,0.224
2251,0.224
2252,0.224
2253,0.224
2254,0.127
2255,0.127
2256,0.127
2257,0.127
2258,0.224
2259,0.224
2260,0.224
2261,0.224
2262,0.127
2263,0.127
2264,0.084
2265,0.084
2266,0.084
2267,0.084
2268,0.084
2269,0.084
2270,0.084
2271,0.127
2272,0.127
2273,0.224
2274,0.224
2275,0.224
2276,0.224
2277,0.127
2278,0.127
2279,0.127
2280,0.127
2281,0.224
2282,0.224
2283,0.224
2284,0.224
2285,0.127
2286,0.127
2287,0.084
2288,0.084
2289,0.084
2290,0.084
2291,0.084
2292,0.084
2293,0.084
2294,0.084
2295,0.084
2296,0.084
2297,0.084
2298,0.084
2299,0.084
2300,0.084
2301,0.084
2302,0.084
2303,0.084
2304,0.084
2305,0.084
2306,0.084
2307,0.084
2308,0.084
2309,0.084
2310,0.084
2311,0.084
2312,0.084
2313,0.084
2314,0.084
2315,0.084
2316,0.084
2317,0.084
2318,0.084
2319,0.084
2320,0.084
2321,0.084
2322,0.084
2323,0.084
2324,0.084
2325,0.084
2326,0.084
2327,0.084
2328,0.084
2329,0.084
2330,0.084
2331,0.084
2332,0.084
2333,0.084
2334,0.084
2335,0.084
2336,0.084
2337,0.084
2338,0.084
2339,0.084
2340,0.084
2341,0.084
2342,0.084
2343,0.084
2344,0.084
2345,0.084
2346,0.127
2347,0.127
2348,0.224
2349,0.224
2350,0.224
2351,0.224
2352,0.127
2353,0.127
2354,0.127
2355,0.127
2356,0.224
2357,0.224
2358,0.224
2359,0.224
2360,0.127
2361,0.127
2362,0.084
2363,0.084
2364,0.084
2365,0.084
2366,0.084
2367,0.084
2368,0.084
2369,0.127
2370,0.127
2371,0.224
2372,0.224
2373,0.224
2374,0.224
2375,0.127
2376,0.127
2377,0.127
2378,0.127
2379,0.224
2380,0.224
2381,0.224
2382,0.224
2383,0.127
2384,0.127
2385,0.084
2386,0.084
2387,0.084
2388,0.084
2389,0.084
2390,0.084
2391,0.084
2392,0.127
2393,0.127
2394,0.224
2395,0.224
2396,0.224
2397,0.224
2398,0.127
2399,0.127
2400,0.127
2401,0.127
2402,0.224
2403,0.224
2404,0.224
2405,0.224
2406,0.127
2407,0.127
2408,0.084
2409,0.084
2410,0.084
2411,0.084
2412,0.084
2413,0.084
2414,0.084
2415,0.127
2416,0.127
2417,0.224
2418,0.224
2419,0.224
2420,0.224
2421,0.127
2422,0.127
2423,0.127
2424,0.127
2425,0.224
2426,0.224
2427,0.224
2428,0.224
2429,0.127
2430,0.127
2431,0.084
2432,0.084
2433,0.084
2434,0.084
2435,0.084
2436,0.084
2437,0.084
2438,0.127
2439,0.127
2440,0.224
2441,0.224
2442,0.224
2443,0.224
2444,0.127
2445,0.127
2446,0.127
2447,0.127
2448,0.224
2449,0.224
2450,0.224
2451,0.224
2452,0.127
2453,0.127
2454,0.084
2455,0.084
2456,0.084
2457,0.084
2458,0.084
2459,0.084
2460,0.084
2461,0.084
2462,0.084
2463,0.084
2464,0.084
2465,0.084
2466,0.084
2467,0.084
2468,0.084
2469,0.084
2470,0.084
2471,0.084
2472,0.084
2473,0.084
2474,0.084
2475,0.084
2476,0.084
2477,0.084
2478,0.084
2479,0.084
2480,0.084
2481,0.084
2482,0.084
2483,0.084
2484,0.084
2485,0.084
2486,0.084
2487,0.084
2488,0.084
2489,0.084
2490,0.084
2491,0.084
2492,0.084
2493,0.084
2494,0.084
2495,0.084
2496,0.084
2497,0.084
2498,0.084
2499,0.084
2500,0.084
2501,0.084
2502,0.084
2503,0.084
2504,0.084
2505,0.084
2506,0.084
2507,0.084
2508,0.084
2509,0.084
2510,0.084
2511,0.084
2512,0.084
2513,0.127
2514,0.127
2515,0.224
2516,0.224
2517,0.224
2518,0.224
2519,0.127
2520,0.127
2521,0.127
2522,0.127
2523,0.224
2524,0.224
2525,0.224
2526,0.224
2527,0.127
2528,0.127
2529,0.084
2530,0.084
2531,0.084
2532,0.084
2533,0.084
2534,0.084
2535,0.084
2536,0.127
2537,0.127
2538,0.224
2539,0.224
2540,0.224
2541,0.224
2542,0.127
2543,0.127
2544,0.127
2545,0.127
2546,0.224
2547,0.224
2548,0.224
2549,0.224
2550,0.127
2551,0.127
2552,0.084
2553,0.084
2554,0.084
2555,0.084
2556,0.084
2557,0.084
2558,0.084
2559,0.127
2560,0.127
2561,0.224
2562,0.224
2563,0.224
2564,0.224
2565,0.127
2566,0.127
2567,0.127
2568,0.127
2569,0.224
2570,0.224
2571,0.224
2572,0.224
2573,0.127
2574,0.127
2575,0.084
2576,0.084
2577,0.084
2578,0.084
2579,0.084
2580,0.084
2581,0.084
2582,0.127
2583,0.127
2584,0.224
2585,0.224
2586,0.224
2587,0.224
2588,0.127
2589,0.127
2590,0.127
2591,0.127
2592,0.224
2593,0.224
2594,0.224
2595,0.224
2596,0.127
2597,0.127
2598,0.084
2599,0.084
2600,0.084
2601,0.084
2602,0.084
2603,0.084
2604,0.084
2605,0.127
2606,0.127
2607,0.224
2608,0.224
2609,0.224
2610,0.224
2611,0.127
2612,0.127
2613,0.127
2614,0.127
2615,0.224
2616,0.224
2617,0.224
2618,0.224
2619,0.127
2620,0.127
2621,0.084
2622,0.084
2623,0.084
2624,0.084
2625,0.084
2626,0.084
2627,0.084
2628,0.084
2629,0.084
2630,0.084
2631,0.084
2632,0.084
2633,0.084
2634,0.084
2635,0.084
2636,0.084
2637,0.084
2638,0.084
2639,0.084
2640,0.084
2641,0.084
2642,0.084
2643,0.084
2644,0.084
2645,0.084
2646,0.084
2647,0.084
2648,0.084
2649,0.084
2650,0.084
2651,0.084
2652,0.084
2653,0.084
2654,0.084
2655,0.084
2656,0.084
2657,0.084
2658,0.084
2659,0.084
2660,0.084
2661,0.084
2662,0.084
2663,0.084
2664,0.084
2665,0.084
2666,0.084
2667,0.084
2668,0.084
2669,0.084
2670,0.084
2671,0.084
2672,0.084
2673,0.084
2674,0.084
2675,0.084
2676,0.084
2677,0.084
2678,0.084
2679,0.084
2680,0.127
2681,0.127
2682,0.224
2683,0.224
2684,0.224
2685,0.224
2686,0.127
2687,0.127
2688,0.127
2689,0.127
2690,0.224
2691,0.224
2692,0.224
2693,0.224
2694,0.127
2695,0.127
2696,0.084
2697,0.084
2698,0.084
2699,0.084
2700,0.084
2701,0.084
2702,0.084
2703,0.127
2704,0.127
2705,0.224
2706,0.224
2707,0.224
2708,0.224
2709,0.127
2710,0.127
2711,0.127
2712,0.127
2713,0.224
2714,0.224
2715,0.224
2716,0.224
2717,0.127
2718,0.127
2719,0.084
2720,0.084
2721,0.084
2722,0.084
2723,0.084
2724,0.084
2725,0.084
2726,0.127
2727,0.127
2728,0.224
2729,0.224
2730,0.224
2731,0.224
2732,0.127
2733,0.127
2734,0.127
2735,0.127
2736,0.224
2737,0.224
2738,0.224
2739,0.224
2740,0.127
2741,0.127
2742,0.084
2743,0.084
2744,0.084
2745,0.084
2746,0.084
2747,0.084
2748,0.084
2749,0.127
2750,0.127
2751,0.224
2752,0.224
2753,0.224
2754,0.224
2755,0.127
2756,0.127
2757,0.127
2758,0.127
2759,0.224
2760,0.224
2761,0.224
2762,0.224
2763,0.127
2764,0.127
2765,0.084
2766,0.084
2767,0.084
2768,0.084
2769,0.084
2770,0.084
2771,0.084
2772,0.127
2773,0.127
2774,0.224
2775,0.224
2776,0.224
2777,0.224
2778,0.127
2779,0.127
2780,0.127
2781,0.127
2782,0.224
2783,0.224
2784,0.224
2785,0.224
2786,0.127
2787,0.127
2788,0.084
2789,0.084
2790,0.084
2791,0.084
2792,0.084
2793,0.084
2794,0.084
2795,0.084
2796,0.084
2797,0.084
2798,0.084
2799,0.084
2800,0.084
2801,0.084
2802,0.084
2803,0.084
2804,0.084
2805,0.084
2806,0.084
2807,0.084
2808,0.084
2809,0.084
2810,0.084
2811,0.084
2812,0.084
2813,0.084
2814,0.084
2815,0.084
2816,0.084
2817,0.084
2818,0.084
2819,0.084
2820,0.084
2821,0.084
2822,0.084
2823,0.084
2824,0.084
2825,0.084
2826,0.084
2827,0.084
2828,0.084
2829,0.084
2830,0.084
2831,0.084
2832,0.084
2833,0.084
2834,0.084
2835,0.084
2836,0.084
2837,0.084
2838,0.084
2839,0.084
2840,0.084
2841,0.084
2842,0.084
2843,0.084
2844,0.084
2845,0.084
2846,0.084
2847,0.127
2848,0.127
2849,0.224
2850,0.224
2851,0.224
2852,0.224
2853,0.127
2854,0.127
2855,0.127
2856,0.127
2857,0.224
2858,0.224
2859,0.224
2860,0.224
2861,0.127
2862,0.127
2863,0.084
2864,0.084
2865,0.084
2866,0.084
2867,0.084
2868,0.084
2869,0.084
2870,0.127
2871,0.127
2872,0.224
2873,0.224
2874,0.224
2875,0.224
2876,0.127
2877,0.127
2878,0.127
2879,0.127
2880,0.224
2881,0.224
2882,0.224
2883,0.224
2884,0.127
2885,0.127
2886,0.084
2887,0.084
2888,0.084
2889,0.084
2890,0.084
2891,0.084
2892,0.084
2893,0.127
2894,0.127
2895,0.224
2896,0.224
2897,0.224
2898,0.224
2899,0.127
2900,0.127
2901,0.127
2902,0.127
2903,0.224
2904,0.224
2905,0.224
2906,0.224
2907,0.127
2908,0.127
2909,0.084
2910,0.084
2911,0.084
2912,0.084
2913,0.084
2914,0.084
2915,0.084
2916,0.127
2917,0.127
2918,0.224
2919,0.224
2920,0.224
2921,0.224
2922,0.127
2923,0.127
2924,0.127
2925,0.127
2926,0.224
2927,0.224
2928,0.224
2929,0.224
2930,0.127
2931,0.127
2932,0.084
2933,0.084
2934,0.084
2935,0.084
2936,0.084
2937,0.084
2938,0.084
2939,0.127
2940,0.127
2941,0.224
2942,0.224
2943,0.224
2944,0.224
2945,0.127
2946,0.127
2947,0.127
2948,0.127
2949,0.224
2950,0.224
2951,0.224
2952,0.224
2953,0.127
2954,0.127
2955,0.084
2956,0.084
2957,0.084
2958,0.084
2959,0.084
2960,0.084
2961,0.084
2962,0.084
2963,0.084
2964,0.084
2965,0.084
2966,0.084
2967,0.084
2968,0.084
2969,0.084
2970,0.084
2971,0.084
2972,0.084
2973,0.084
2974,0.084
2975,0.084
2976,0.084
2977,0.084
2978,0.084
2979,0.084
2980,0.084
2981,0.084
2982,0.084
2983,0.084
2984,0.084
2985,0.084
2986,0.084
2987,0.084
2988,0.084
2989,0.084
2990,0.084
2991,0.084
2992,0.084
2993,0.084
2994,0.084
2995,0.084
2996,0.084
2997,0.084
2998,0.084
2999,0.084
3000,0.084
3001,0.084
3002,0.084
3003,0.084
3004,0.084
3005,0.084
3006,0.084
3007,0.084
3008,0.084
3009,0.084
3010,0.084
3011,0.084
3012,0.084
3013,0.084
3014,0.127
3015,0.127
3016,0.224
3017,0.224
3018,0.224
3019,0.224
3020,0.127
3021,0.127
3022,0.127
3023,0.127
3024,0.224
3025,0.224
3026,0.224
3027,0.224
3028,0.127
3029,0.127
3030,0.084
3031,0.084
3032,0.084
3033,0.084
3034,0.084
3035,0.084
3036,0.084
3037,0.127
3038,0.127
3039,0.224
3040,0.224
3041,0.224
3042,0.224
3043,0.127
3044,0.127
3045,0.127
3046,0.127
3047,0.224
3048,0.224
3049,0.224
3050,0.224
3051,0.127
3052,0.127
3053,0.084
3054,0.084
3055,0.084
3056,0.084
3057,0.084
3058,0.084
3059,0.084
3060,0.127
3061,0.127
3062,0.224
3063,0.224
3064,0.224
3065,0.224
3066,0.127
3067,0.127
3068,0.127
3069,0.127
3070,0.224
3071,0.224
3072,0.224
3073,0.224
3074,0.127
3075,0.127
3076,0.084
3077,0.084
3078,0.084
3079,0.084
3080,0.084
3081,0.084
3082,0.084
3083,0.127
3084,0.127
3085,0.224
3086,0.224
3087,0.224
3088,0.224
3089,0.127
3090,0.127
3091,0.127
3092,0.127
3093,0.224
3094,0.224
3095,0.224
3096,0.224
3097,0.127
3098,0.127
3099,0.084
3100,0.084
3101,0.084
3102,0.084
3103,0.084
3104,0.084
3105,0.084
3106,0.127
3107,0.127
3108,0.224
3109,0.224
3110,0.224
3111,0.224
3112,0.127
3113,0.127
3114,0.127
3115,0.127
3116,0.224
3117,0.224
3118,0.224
3119,0.224
3120,0.127
3121,0.127
3122,0.084
3123,0.084
3124,0.084
3125,0.084
3126,0.084
3127,0.084
3128,0.084
3129,0.084
3130,0.084
3131,0.084
3132,0.084
3133,0.084
3134,0.084
3135,0.084
3136,0.084
3137,0.084
3138,0.084
3139,0.084
3140,0.084
3141,0.084
3142,0.084
3143,0.084
3144,0.084
3145,0.084
3146,0.084
3147,0.084
3148,0.084
3149,0.084
3150,0.084
3151,0.084
3152,0.084
3153,0.084
3154,0.084
3155,0.084
3156,0.084
3157,0.084
3158,0.084
3159,0.084
3160,0.084
3161,0.084
3162,0.084
3163,0.084
3164,0.084
3165,0.084
3166,0.084
3167,0.084
3168,0.084
3169,0.084
3170,0.084
3171,0.084
3172,0.084
3173,0.084
3174,0.084
3175,0.084
3176,0.084
3177,0.084
3178,0.084
3179,0.084
3180,0.084
3181,0.127
3182,0.127
3183,0.224
3184,0.224
3185,0.224
3186,0.224
3187,0.127
3188,0.127
3189,0.127
3190,0.127
3191,0.224
3192,0.224
3193,0.224
3194,0.224
3195,0.127
3196,0.127
3197,0.084
3198,0.084
3199,0.084
3200,0.084
3201,0.084
3202,0.084
3203,0.084
3204,0.127
3205,0.127
3206,0.224
3207,0.224
3208,0.224
3209,0.224
3210,0.127
3211,0.127
3212,0.127
3213,0.127
3214,0.224
3215,0.224
3216,0.224
3217,0.224
3218,0.127
3219,0.127
3220,0.084
3221,0.084
3222,0.084
3223,0.084
3224,0.084
3225,0.084
3226,0.084
3227,0.127
3228,0.127
3229,0.224
3230,0.224
3231,0.224
3232,0.224
3233,0.127
3234,0.127
3235,0.127
3236,0.127
3237,0.224
3238,0.224
3239,0.224
3240,0.224
3241,0.127
3242,0.127
3243,0.084
3244,0.084
3245,0.084
3246,0.084
3247,0.084
3248,0.084
3249,0.084
3250,0.127
3251,0.127
3252,0.224
3253,0.224
3254,0.224
3255,0.224
3256,0.127
3257,0.127
3258,0.127
3259,0.127
3260,0.224
3261,0.224
3262,0.224
3263,0.224
3264,0.127
3265,0.127
3266,0.084
3267,0.084
3268,0.084
3269,0.084
3270,0.084
3271,0.084
3272,0.084
3273,0.127
3274,0.127
3275,0.224
3276,0.224
3277,0.224
3278,0.224
3279,0.127
3280,0.127
3281,0.127
3282,0.127
3283,0.224
3284,0.224
3285,0.224
3286,0.224
3287,0.127
3288,0.127
3289,0.084
3290,0.084
3291,0.084
3292,0.084
3293,0.084
3294,0.084
3295,0.084
3296,0.084
3297,0.084
3298,0.084
3299,0.084
3300,0.084
3301,0.084
3302,0.084
3303,0.084
3304,0.084
3305,0.084
3306,0.084
3307,0.084
3308,0.084
3309,0.084
3310,0.084
3311,0.084
3312,0.084
3313,0.084
3314,0.084
3315,0.084
3316,0.084
3317,0.084
3318,0.084
3319,0.084
3320,0.084
3321,0.084
3322,0.084
3323,0.084
3324,0.084
3325,0.084
3326,0.084
3327,0.084
3328,0.084
3329,0.084
3330,0.084
3331,0.084
3332,0.084
3333,0.084
3334,0.084
3335,0.084
3336,0.084
3337,0.084
3338,0.084
3339,0.084
3340,0.084
3341,0.084
3342,0.084
3343,0.084
3344,0.084
3345,0.084
3346,0.084
3347,0.084
3348,0.127
3349,0.127
3350,0.224
3351,0.224
3352,0.224
3353,0.224
3354,0.127
3355,0.127
3356,0.127
3357,0.127
3358,0.224
3359,0.224
3360,0.224
3361,0.224
3362,0.127
3363,0.127
3364,0.084
3365,0.084
3366,0.084
3367,0.084
3368,0.084
3369,0.084
3370,0.084
3371,0.127
3372,0.127
3373,0.224
3374,0.224
3375,0.224
3376,0.224
3377,0.127
3378,0.127
3379,0.127
3380,0.127
3381,0.224
3382,0.224
3383,0.224
3384,0.224
3385,0.127
3386,0.127
3387,0.084
3388,0.084
3389,0.084
3390,0.084
3391,0.084
3392,0.084
3393,0.084
3394,0.127
3395,0.127
3396,0.224
3397,0.224
3398,0.224
3399,0.224
3400,0.127
3401,0.127
3402,0.127
3403,0.127
3404,0.224
3405,0.224
3406,0.224
3407,0.224
3408,0.127
3409,0.127
3410,0.084
3411,0.084
3412,0.084
3413,0.084
3414,0.084
3415,0.084
3416,0.084
3417,0.127
3418,0.127
3419,0.224
3420,0.224
3421,0.224
3422,0.224
3423,0.127
3424,0.127
3425,0.127
3426,0.127
3427,0.224
3428,0.224
3429,0.224
3430,0.224
3431,0.127
3432,0.127
3433,0.084
3434,0.084
3435,0.084
3436,0.084
3437,0.084
3438,0.084
3439,0.084
3440,0.127
3441,0.127
3442,0.224
3443,0.224
3444,0.224
3445,0.224
3446,0.127
3447,0.127
3448,0.127
3449,0.127
3450,0.224
3451,0.224
3452,0.224
3453,0.224
3454,0.127
3455,0.127
3456,0.084
3457,0.084
3458,0.084
3459,0.084
3460,0.084
3461,0.084
3462,0.084
3463,0.084
3464,0.084
3465,0.084
3466,0.084
3467,0.084
3468,0.084
3469,0.084
3470,0.084
3471,0.084
3472,0.084
3473,0.084
3474,0.084
3475,0.084
3476,0.084
3477,0.084
3478,0.084
3479,0.084
3480,0.084
3481,0.084
3482,0.084
3483,0.084
3484,0.084
3485,0.084
3486,0.084
3487,0.084
3488,0.084
3489,0.084
3490,0.084
3491,0.084
3492,0.084
3493,0.084
3494,0.084
3495,0.084
3496,0.084
3497,0.084
3498,0.084
3499,0.084
3500,0.084
3501,0.084
3502,0.084
3503,0.084
3504,0.084
3505,0.084
3506,0.084
3507,0.084
3508,0.084
3509,0.084
3510,0.084
3511,0.084
3512,0.084
3513,0.084
3514,0.084
3515,0.127
3516,0.127
3517,0.224
3518,0.224
3519,0.224
3520,0.224
3521,0.127
3522,0.127
3523,0.127
3524,0.127
3525,0.224
3526,0.224
3527,0.224
3528,0.224
3529,0.127
3530,0.127
3531,0.084
3532,0.084
3533,0.084
3534,0.084
3535,0.084
3536,0.084
3537,0.084
3538,0.127
3539,0.127
3540,0.224
3541,0.224
3542,0.224
3543,0.224
3544,0.127
3545,0.127
3546,0.127
3547,0.127
3548,0.224
3549,0.224
3550,0.224
3551,0.224
3552,0.127
3553,0.127
3554,0.084
3555,0.084
3556,0.084
3557,0.084
3558,0.084
3559,0.084
3560,0.084
3561,0.127
3562,0.127
3563,0.224
3564,0.224
3565,0.224
3566,0.224
3567,0.127
3568,0.127
3569,0.127
3570,0.127
3571,0.224
3572,0.224
3573,0.224
3574,0.224
3575,0.127
3576,0.127
3577,0.084
3578,0.084
3579,0.084
3580,0.084
3581,0.084
3582,0.084
3583,0.084
3584,0.127
3585,0.127
3586,0.224
3587,0.224
3588,0.224
3589,0.224
3590,0.127
3591,0.127
3592,0.127
3593,0.127
3594,0.224
3595,0.224
3596,0.224
3597,0.224
3598,0.127
3599,0.127
3600,0.084
3601,0.084
3602,0.084
3603,0.084
3604,0.084
3605,0.084
3606,0.084
3607,0.127
3608,0.127
3609,0.224
3610,0.224
3611,0.224
3612,0.224
3613,0.127
3614,0.127
3615,0.127
3616,0.127
3617,0.224
3618,0.224
3619,0.224
3620,0.224
3621,0.127
3622,0.127
3623,0.084
3624,0.084
3625,0.084
3626,0.084
3627,0.084
3628,0.084
3629,0.084
3630,0.084
3631,0.084
3632,0.084
3633,0.084
3634,0.084
3635,0.084
3636,0.084
3637,0.084
3638,0.084
3639,0.084
3640,0.084
3641,0.084
3642,0.084
3643,0.084
3644,0.084
3645,0.084
3646,0.084
3647,0.084
3648,0.084
3649,0.084
3650,0.084
3651,0.084
3652,0.084
3653,0.084
3654,0.084
3655,0.084
3656,0.084
3657,0.084
3658,0.084
3659,0.084
3660,0.084
3661,0.084
3662,0.084
3663,0.084
3664,0.084
3665,0.084
3666,0.084
3667,0.084
3668,0.084
3669,0.084
3670,0.084
3671,0.084
3672,0.084
3673,0.084
3674,0.084
3675,0.084
3676,0.084
3677,0.084
3678,0.084
3679,0.084
3680,0.084
3681,0.084
3682,0.127
3683,0.127
3684,0.224
3685,0.224
3686,0.224
3687,0.224
3688,0.127
3689,0.127
3690,0.127
3691,0.127
3692,0.224
3693,0.224
3694,0.224
3695,0.224
3696,0.127
3697,0.127
3698,0.084
3699,0.084
3700,0.084
3701,0.084
3702,0.084
3703,0.084
3704,0.084
3705,0.127
3706,0.127
3707,0.224
3708,0.224
3709,0.224
3710,0.224
3711,0.127
3712,0.127
3713,0.127
3714,0.127
3715,0.224
3716,0.224
3717,0.224
3718,0.224
3719,0.127
3720,0.127
3721,0.084
3722,0.084
3723,0.084
3724,0.084
3725,0.084
3726,0.084
3727,0.084
3728,0.127
3729,0.127
3730,0.224
3731,0.224
3732,0.224
3733,0.224
3734,0.127
3735,0.127
3736,0.127
3737,0.127
3738,0.224
3739,0.224
3740,0.224
3741,0.224
3742,0.127
3743,0.127
3744,0.084
3745,0.084
3746,0.084
3747,0.084
3748,0.084
3749,0.084
3750,0.084
3751,0.127
3752,0.127
3753,0.224
3754,0.224
3755,0.224
3756,0.224
3757,0.127
3758,0.127
3759,0.127
3760,0.127
3761,0.224
3762,0.224
3763,0.224
3764,0.224
3765,0.127
3766,0.127
3767,0.084
3768,0.084
3769,0.084
3770,0.084
3771,0.084
3772,0.084
3773,0.084
3774,0.127
3775,0.127
3776,0.224
3777,0.224
3778,0.224
3779,0.224
3780,0.127
3781,0.127
3782,0.127
3783,0.127
3784,0.224
3785,0.224
3786,0.224
3787,0.224
3788,0.127
3789,0.127
3790,0.084
3791,0.084
3792,0.084
3793,0.084
3794,0.084
3795,0.084
3796,0.084
3797,0.084
3798,0.084
3799,0.084
3800,0.084
3801,0.084
3802,0.084
3803,0.084
3804,0.084
3805,0.084
3806,0.084
3807,0.084
3808,0.084
3809,0.084
3810,0.084
3811,0.084
3812,0.084
3813,0.084
3814,0.084
3815,0.084
3816,0.084
3817,0.084
3818,0.084
3819,0.084
3820,0.084
3821,0.084
3822,0.084
3823,0.084
3824,0.084
3825,0.084
3826,0.084
3827,0.084
3828,0.084
3829,0.084
3830,0.084
3831,0.084
3832,0.084
3833,0.084
3834,0.084
3835,0.084
3836,0.084
3837,0.084
3838,0.084
3839,0.084
3840,0.084
3841,0.084
3842,0.084
3843,0.084
3844,0.084
3845,0.084
3846,0.084
3847,0.084
3848,0.084
3849,0.127
3850,0.127
3851,0.224
3852,0.224
3853,0.224
3854,0.224
3855,0.127
3856,0.127
3857,0.127
3858,0.127
3859,0.224
3860,0.224
3861,0.224
3862,0.224
3863,0.127
3864,0.127
3865,0.084
3866,0.084
3867,0.084
3868,0.084
3869,0.084
3870,0.084
3871,0.084
3872,0.127
3873,0.127
3874,0.224
3875,0.224
3876,0.224
3877,0.224
3878,0.127
3879,0.127
3880,0.127
3881,0.127
3882,0.224
3883,0.224
3884,0.224
3885,0.224
3886,0.127
3887,0.127
3888,0.084
3889,0.084
3890,0.084
3891,0.084
3892,0.084
3893,0.084
3894,0.084
3895,0.127
3896,0.127
3897,0.224
3898,0.224
3899,0.224
3900,0.224
3901,0.127
3902,0.127
3903,0.127
3904,0.127
3905,0.224
3906,0.224
3907,0.224
3908,0.224
3909,0.127
3910,0.127
3911,0.084
3912,0.084
3913,0.084
3914,0.084
3915,0.084
3916,0.084
3917,0.084
3918,0.127
3919,0.127
3920,0.224
3921,0.224
3922,0.224
3923,0.224
3924,0.127
3925,0.127
3926,0.127
3927,0.127
3928,0.224
3929,0.224
3930,0.224
3931,0.224
3932,0.127
3933,0.127
3934,0.084
3935,0.084
3936,0.084
3937,0.084
3938,0.084
3939,0.084
3940,0.084
3941,0.127
3942,0.127
3943,0.224
3944,0.224
3945,0.224
3946,0.224
3947,0.127
3948,0.127
3949,0.127
3950,0.127
3951,0.224
3952,0.224
3953,0.224
3954,0.224
3955,0.127
3956,0.127
3957,0.084
3958,0.084
3959,0.084
3960,0.084
3961,0.084
3962,0.084
3963,0.084
3964,0.084
3965,0.084
3966,0.084
3967,0.084
3968,0.084
3969,0.084
3970,0.084
3971,0.084
3972,0.084
3973,0.084
3974,0.084
3975,0.084
3976,0.084
3977,0.084
3978,0.084
3979,0.084
3980,0.084
3981,0.084
3982,0.084
3983,0.084
3984,0.084
3985,0.084
3986,0.084
3987,0.084
3988,0.084
3989,0.084
3990,0.084
3991,0.084
3992,0.084
3993,0.084
3994,0.084
3995,0.084
3996,0.084
3997,0.084
3998,0.084
3999,0.084
4000,0.084
4001,0.084
4002,0.084
4003,0.084
4004,0.084
4005,0.084
4006,0.084
4007,0.084
4008,0.084
4009,0.084
4010,0.084
4011,0.084
4012,0.084
4013,0.084
4014,0.084
4015,0.084
4016,0.127
4017,0.127
4018,0.224
4019,0.224
4020,0.224
4021,0.224
4022,0.127
4023,0.127
4024,0.127
4025,0.127
4026,0.224
4027,0.224
4028,0.224
4029,0.224
4030,0.127
4031,0.127
4032,0.084
4033,0.084
4034,0.084
4035,0.084
4036,0.084
4037,0.084
4038,0.084
4039,0.127
4040,0.127
4041,0.224
4042,0.224
4043,0.224
4044,0.224
4045,0.127
4046,0.127
4047,0.127
4048,0.127
4049,0.224
4050,0.224
4051,0.224
4052,0.224
4053,0.127
4054,0.127
4055,0.084
4056,0.084
4057,0.084
4058,0.084
4059,0.084
4060,0.084
4061,0.084
4062,0.127
4063,0.127
4064,0.224
4065,0.224
4066,0.224
4067,0.224
4068,0.127
4069,0.127
4070,0.127
4071,0.127
4072,0.224
4073,0.224
4074,0.224
4075,0.224
4076,0.127
4077,0.127
4078,0.084
4079,0.084
4080,0.084
4081,0.084
4082,0.084
4083,0.084
4084,0.084
4085,0.127
4086,0.127
4087,0.224
4088,0.224
4089,0.224
4090,0.224
4091,0.127
4092,0.127
4093,0.127
4094,0.127
4095,0.224
4096,0.224
4097,0.224
4098,0.224
4099,0.127
4100,0.127
4101,0.084
4102,0.084
4103,0.084
4104,0.084
4105,0.084
4106,0.084
4107,0.084
4108,0.127
4109,0.127
4110,0.224
4111,0.224
4112,0.224
4113,0.224
4114,0.127
4115,0.127
4116,0.127
4117,0.127
4118,0.224
4119,0.224
4120,0.224
4121,0.224
4122,0.127
4123,0.127
4124,0.084
4125,0.084
4126,0.084
4127,0.084
4128,0.084
4129,0.084
4130,0.084
4131,0.084
4132,0.084
4133,0.084
4134,0.084
4135,0.084
4136,0.084
4137,0.084
4138,0.084
